Date,Price
01/01/2019,5.2933
01/02/2019,5.4003
01/03/2019,5.4664
01/04/2019,5.3311
01/07/2019,5.3848
01/08/2019,5.4811
01/09/2019,5.4768
01/10/2019,5.4168
01/11/2019,5.455
01/14/2019,5.4447
01/15/2019,5.4466
01/16/2019,5.3363
01/17/2019,5.348
01/18/2019,5.3283
01/21/2019,5.3247
01/22/2019,5.3436
01/23/2019,5.286
01/24/2019,5.2651
01/25/2019,5.2688
01/28/2019,5.3279
01/29/2019,5.3098
01/30/2019,5.2252
01/31/2019,5.1645
02/01/2019,5.2084
02/04/2019,5.2182
02/05/2019,5.1985
02/06/2019,5.2168
02/07/2019,5.2668
02/08/2019,5.2474
02/11/2019,5.278
02/12/2019,5.2516
02/13/2019,5.285
02/14/2019,5.2729
02/15/2019,5.2714
02/18/2019,5.3083
02/19/2019,5.2828
02/20/2019,5.3244
02/21/2019,5.3214
02/22/2019,5.3186
02/25/2019,5.3026
02/26/2019,5.3066
02/27/2019,5.3136
02/28/2019,5.3371
03/01/2019,5.3742
03/04/2019,5.3769
03/05/2019,5.387
03/06/2019,5.4288
03/07/2019,5.4712
03/08/2019,5.4303
03/11/2019,5.4455
03/12/2019,5.4572
03/13/2019,5.4564
03/14/2019,5.4671
03/15/2019,5.4467
03/18/2019,5.4683
03/19/2019,5.4764
03/20/2019,5.4208
03/21/2019,5.4652
03/22/2019,5.7627
03/25/2019,5.5503
03/26/2019,5.3279
03/27/2019,5.3278
03/28/2019,5.561
03/29/2019,5.5555
04/01/2019,5.4863
04/02/2019,5.605
04/03/2019,5.626
04/04/2019,5.5924
04/05/2019,5.6262
04/08/2019,5.6903
04/09/2019,5.6943
04/10/2019,5.6818
04/11/2019,5.7388
04/12/2019,5.7693
04/15/2019,5.8041
04/16/2019,5.7704
04/17/2019,5.7387
04/18/2019,5.8018
04/19/2019,5.8112
04/22/2019,5.8272
04/23/2019,5.8287
04/24/2019,5.8753
04/25/2019,5.9268
04/26/2019,5.9382
04/29/2019,5.9483
04/30/2019,5.9656
05/01/2019,5.9665
05/02/2019,5.9645
05/03/2019,5.9648
05/06/2019,6.0803
05/07/2019,6.1511
05/08/2019,6.186
05/09/2019,6.1926
05/10/2019,5.985
05/13/2019,6.0594
05/14/2019,6.0306
05/15/2019,6.0007
05/16/2019,6.0457
05/17/2019,6.055
05/20/2019,6.0272
05/21/2019,6.0525
05/22/2019,6.1002
05/23/2019,6.0964
05/24/2019,6.0825
05/27/2019,6.0629
05/28/2019,6.0319
05/29/2019,6.0121
05/30/2019,5.8772
05/31/2019,5.8382
06/03/2019,5.8339
06/04/2019,5.7825
06/05/2019,5.731
06/06/2019,5.7801
06/07/2019,5.831
06/10/2019,5.7747
06/11/2019,5.7976
06/12/2019,5.808
06/13/2019,5.8682
06/14/2019,5.9015
06/17/2019,5.8733
06/18/2019,5.8284
06/19/2019,5.7913
06/20/2019,5.7644
06/21/2019,5.8214
06/24/2019,5.809
06/25/2019,5.7949
06/26/2019,5.7749
06/27/2019,5.7725
06/28/2019,5.7921
07/01/2019,5.6507
07/02/2019,5.6528
07/03/2019,5.6249
07/04/2019,5.5953
07/05/2019,5.6288
07/08/2019,5.7367
